Timestamp,Event,Event Data
15:52:35,235 2016-05-26,Boiler Initialized,0 
16:09:12,402 2016-05-26,Boiler Initialized,0 
16:10:43,811 2016-05-26,Boiler Ready,0 
16:10:47,714 2016-05-26,Start Pre-Purge,0,00 
16:10:47,814 2016-05-26,Start Pre-Purge,0,10 
16:10:47,915 2016-05-26,Start Pre-Purge,0,20 
16:10:48,016 2016-05-26,Start Pre-Purge,0,30 
16:10:48,115 2016-05-26,Start Pre-Purge,0,40 
16:10:48,215 2016-05-26,Start Pre-Purge,0,50 
16:10:48,315 2016-05-26,Start Pre-Purge,0,60 
16:10:48,415 2016-05-26,Start Pre-Purge,0,70 
16:10:48,515 2016-05-26,Start Pre-Purge,0,80 
16:10:48,615 2016-05-26,Start Pre-Purge,0,90 
16:10:48,715 2016-05-26,Start Pre-Purge,1,00 
16:10:48,815 2016-05-26,Start Pre-Purge,1,10 
16:10:48,915 2016-05-26,Start Pre-Purge,1,20 
16:10:49,015 2016-05-26,Start Pre-Purge,1,30 
16:10:49,116 2016-05-26,Start Pre-Purge,1,40 
16:10:49,215 2016-05-26,Start Pre-Purge,1,50 
16:10:49,315 2016-05-26,Start Pre-Purge,1,60 
16:10:49,415 2016-05-26,Start Pre-Purge,1,70 
16:10:49,517 2016-05-26,Start Pre-Purge,1,80 
16:10:49,616 2016-05-26,Start Pre-Purge,1,90 
16:10:49,716 2016-05-26,Start Pre-Purge,2,00 
16:10:49,816 2016-05-26,Start Pre-Purge,2,10 
16:10:49,916 2016-05-26,Start Pre-Purge,2,20 
16:10:50,016 2016-05-26,Start Pre-Purge,2,30 
16:10:50,116 2016-05-26,Start Pre-Purge,2,40 
16:10:50,216 2016-05-26,Start Pre-Purge,2,50 
16:10:50,316 2016-05-26,Start Pre-Purge,2,60 
16:10:50,416 2016-05-26,Start Pre-Purge,2,70 
16:10:50,516 2016-05-26,Start Pre-Purge,2,80 
16:10:50,616 2016-05-26,Start Pre-Purge,2,90 
16:10:50,716 2016-05-26,Start Pre-Purge,3,00 
16:10:50,816 2016-05-26,Start Pre-Purge,3,10 
16:10:50,916 2016-05-26,Start Pre-Purge,3,20 
16:10:51,016 2016-05-26,Start Pre-Purge,3,30 
16:10:51,118 2016-05-26,Start Pre-Purge,3,40 
16:10:51,217 2016-05-26,Start Pre-Purge,3,50 
16:10:51,317 2016-05-26,Start Pre-Purge,3,60 
16:10:51,417 2016-05-26,Start Pre-Purge,3,70 
16:10:51,517 2016-05-26,Start Pre-Purge,3,80 
16:10:51,619 2016-05-26,Start Pre-Purge,3,90 
