Timestamp,Event,Event data
2016-05-26 19:36:06,Boiler Initialized,0
2016-05-26 19:36:08,Boiler Ready,0
2016-05-26 19:36:08,Pre-Purge,0,000000
2016-05-26 19:36:08,Pre-Purge,0,000000
2016-05-26 19:36:08,Pre-Purge,0,000999
2016-05-26 19:36:08,Pre-Purge,0,001999
2016-05-26 19:36:08,Pre-Purge,0,001999
2016-05-26 19:36:08,Pre-Purge,0,003000
2016-05-26 19:36:08,Pre-Purge,0,003000
2016-05-26 19:36:08,Pre-Purge,0,004001
2016-05-26 19:36:08,Pre-Purge,0,005003
2016-05-26 19:36:08,Pre-Purge,0,005003
2016-05-26 19:36:08,Pre-Purge,0,006003
2016-05-26 19:36:08,Pre-Purge,0,006003
2016-05-26 19:36:08,Pre-Purge,0,007004
2016-05-26 19:36:08,Pre-Purge,0,008004
2016-05-26 19:36:08,Pre-Purge,0,008004
2016-05-26 19:36:08,Pre-Purge,0,009005
2016-05-26 19:36:08,Pre-Purge,0,010005
2016-05-26 19:36:08,Pre-Purge,0,010005
2016-05-26 19:36:08,Pre-Purge,0,011006
2016-05-26 19:36:08,Pre-Purge,0,011006
2016-05-26 19:36:08,Pre-Purge,0,012007
2016-05-26 19:36:08,Pre-Purge,0,013013
2016-05-26 19:36:08,Pre-Purge,0,013013
2016-05-26 19:36:08,Pre-Purge,0,014009
2016-05-26 19:36:08,Pre-Purge,0,014009
2016-05-26 19:36:08,Pre-Purge,0,015008
2016-05-26 19:36:08,Pre-Purge,0,015008
2016-05-26 19:36:08,Pre-Purge,0,016010
2016-05-26 19:36:08,Pre-Purge,0,016010
2016-05-26 19:36:08,Pre-Purge,0,017010
2016-05-26 19:36:08,Pre-Purge,0,017010
2016-05-26 19:36:08,Pre-Purge,0,018010
2016-05-26 19:36:08,Pre-Purge,0,019011
2016-05-26 19:36:08,Pre-Purge,0,019011
2016-05-26 19:36:08,Pre-Purge,0,020012
2016-05-26 19:36:08,Pre-Purge,0,021013
2016-05-26 19:36:08,Pre-Purge,0,022013
2016-05-26 19:36:08,Pre-Purge,0,022013
2016-05-26 19:36:08,Pre-Purge,0,023014
2016-05-26 19:36:08,Pre-Purge,0,023014
2016-05-26 19:36:08,Pre-Purge,0,024014
2016-05-26 19:36:08,Pre-Purge,0,024014
2016-05-26 19:36:08,Pre-Purge,0,025016
2016-05-26 19:36:08,Pre-Purge,0,025016
2016-05-26 19:36:08,Pre-Purge,0,026015
2016-05-26 19:36:08,Pre-Purge,0,026015
2016-05-26 19:36:08,Pre-Purge,0,027016
2016-05-26 19:36:08,Pre-Purge,0,028019
2016-05-26 19:36:08,Pre-Purge,0,028019
2016-05-26 19:36:08,Pre-Purge,0,029018
2016-05-26 19:36:08,Pre-Purge,0,029018
2016-05-26 19:36:08,Pre-Purge,0,030020
2016-05-26 19:36:08,Pre-Purge,0,031019
2016-05-26 19:36:08,Pre-Purge,0,031019
2016-05-26 19:36:08,Pre-Purge,0,032022
2016-05-26 19:36:08,Pre-Purge,0,032022
2016-05-26 19:36:08,Pre-Purge,0,033020
2016-05-26 19:36:08,Pre-Purge,0,033020
2016-05-26 19:36:08,Pre-Purge,0,034023
2016-05-26 19:36:08,Pre-Purge,0,034023
2016-05-26 19:36:08,Pre-Purge,0,035023
2016-05-26 19:36:08,Pre-Purge,0,036023
2016-05-26 19:36:08,Pre-Purge,0,036023
2016-05-26 19:36:08,Pre-Purge,0,037023
2016-05-26 19:36:08,Pre-Purge,0,038029
2016-05-26 19:36:08,Pre-Purge,0,039025
2016-05-26 19:36:08,Pre-Purge,0,039025
2016-05-26 19:36:08,Pre-Purge,0,040025
2016-05-26 19:36:08,Pre-Purge,0,040025
2016-05-26 19:36:08,Pre-Purge,0,041026
2016-05-26 19:36:08,Pre-Purge,0,041026
2016-05-26 19:36:08,Pre-Purge,0,042027
2016-05-26 19:36:08,Pre-Purge,0,042027
2016-05-26 19:36:08,Pre-Purge,0,043027
2016-05-26 19:36:08,Pre-Purge,0,043027
2016-05-26 19:36:08,Pre-Purge,0,044028
2016-05-26 19:36:08,Pre-Purge,0,044028
2016-05-26 19:36:08,Pre-Purge,0,045029
2016-05-26 19:36:08,Pre-Purge,0,046031
2016-05-26 19:36:08,Pre-Purge,0,046031
2016-05-26 19:36:08,Pre-Purge,0,047030
2016-05-26 19:36:08,Pre-Purge,0,047030
2016-05-26 19:36:08,Pre-Purge,0,048030
2016-05-26 19:36:08,Pre-Purge,0,049033
2016-05-26 19:36:08,Pre-Purge,0,049033
2016-05-26 19:36:08,Pre-Purge,0,050032
2016-05-26 19:36:08,Pre-Purge,0,051033
2016-05-26 19:36:08,Pre-Purge,0,051033
2016-05-26 19:36:08,Pre-Purge,0,052033
2016-05-26 19:36:08,Pre-Purge,0,052033
2016-05-26 19:36:08,Pre-Purge,0,053036
2016-05-26 19:36:08,Pre-Purge,0,053036
2016-05-26 19:36:08,Pre-Purge,0,054036
2016-05-26 19:36:08,Pre-Purge,0,055036
2016-05-26 19:36:08,Pre-Purge,0,055036
2016-05-26 19:36:08,Pre-Purge,0,056036
2016-05-26 19:36:08,Pre-Purge,0,057037
2016-05-26 19:36:08,Pre-Purge,0,057037
2016-05-26 19:36:08,Pre-Purge,0,058037
2016-05-26 19:36:08,Pre-Purge,0,058037
2016-05-26 19:36:08,Pre-Purge,0,059038
2016-05-26 19:36:08,Pre-Purge,0,059038
2016-05-26 19:36:08,Pre-Purge,0,060039
2016-05-26 19:36:08,Pre-Purge,0,061039
2016-05-26 19:36:08,Pre-Purge,0,061039
2016-05-26 19:36:08,Pre-Purge,0,062041
2016-05-26 19:36:08,Pre-Purge,0,063040
2016-05-26 19:36:08,Pre-Purge,0,063040
2016-05-26 19:36:08,Pre-Purge,0,064041
2016-05-26 19:36:08,Pre-Purge,0,064041
2016-05-26 19:36:08,Pre-Purge,0,065042
2016-05-26 19:36:08,Pre-Purge,0,065042
2016-05-26 19:36:08,Pre-Purge,0,066042
2016-05-26 19:36:08,Pre-Purge,0,066042
2016-05-26 19:36:08,Pre-Purge,0,067043
2016-05-26 19:36:08,Pre-Purge,0,067043
2016-05-26 19:36:08,Pre-Purge,0,068044
2016-05-26 19:36:08,Pre-Purge,0,068044
2016-05-26 19:36:08,Pre-Purge,0,069045
2016-05-26 19:36:08,Pre-Purge,0,070045
2016-05-26 19:36:08,Pre-Purge,0,070045
